name,dist_ly,x,y,z,spect,temp,size,color,brightness,comp_val,comp_desc,stage,image,has_planets,planet_count,visible_from
Gliese GJ 3001,43.37,35.86,0.42,-24.4,DC9,6576,0.01,White,0.0002,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Gliese 876 System (30.3 ly away), Tau Ceti System (33.5 ly away), Epsilon Eridani System (38.2 ly away)"
Gliese GJ 3971,43.37,-5.63,-15.54,40.1,m,3222,0.03,Red,0.0001,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (40.2 ly away), Wolf 359 System (43.0 ly away), Solar System (Earth/Sun) (43.4 ly away)"
Gliese Gl 732A,43.37,7.87,-32.96,-27.07,sdG0,3749,0.085,Yellow,0.0013,0.5,Metal-poor,Subdwarf,images/sun.jpg,FALSE,0,"Gliese 667 System (23.2 ly away), Gliese 581 System (36.6 ly away), Gliese 876 System (37.5 ly away)"
Gliese Gl 732B,43.37,7.87,-32.96,-27.07,G2V,5700,0.01,Yellow,0.0001,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Gliese 667 System (23.2 ly away), Gliese 581 System (36.6 ly away), Gliese 876 System (37.5 ly away)"
Gliese GJ 3403,43.38,-4.22,24.14,-35.8,K7V,3988,0.286,Orange,0.0185,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"Epsilon Eridani System (39.0 ly away), Tau Ceti System (40.4 ly away), Proxima Centauri System (41.3 ly away)"
Gliese Gl 597,43.41,-5.98,-8.64,42.12,M4,3581,0.116,Red,0.002,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (41.2 ly away), Wolf 359 System (42.6 ly away), Ross 128 System (43.0 ly away)"
Gliese Gl 835,43.44,31.3,-22.33,20.21,G2V,3801,0.311,Yellow,0.0181,1.0,Solar metallicity,Main Sequence,images/sun.jpg,FALSE,0,"Gliese 876 System (34.6 ly away), Barnard's Star System (40.2 ly away), Tau Ceti System (41.7 ly away)"
Gliese GJ 1088,43.49,-1.51,31.56,-29.89,M3.5,3663,0.106,Red,0.0018,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Epsilon Eridani System (37.3 ly away), Tau Ceti System (39.4 ly away), Ross 128 System (39.8 ly away)"
Gliese GJ 3423,43.49,-9.76,34.39,24.76,m,3100,0.1,Red,0.0008,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"55 Cancri System (17.7 ly away), Ross 128 System (33.1 ly away), Wolf 359 System (40.2 ly away)"
Gliese GJ 3586,43.49,-24.1,12.61,33.93,k-m,3568,0.066,Orange,0.0006,1.0,Solar metallicity,Main Sequence,images/orange_dwarf.jpg,FALSE,0,"55 Cancri System (19.9 ly away), Ross 128 System (37.0 ly away), Wolf 359 System (38.4 ly away)"
Gliese GJ 3900,43.49,-27.38,-32.4,-9.6,M3,3764,0.089,Red,0.0014,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 581 System (23.4 ly away), Gliese 667 System (28.1 ly away), Barnard's Star System (39.7 ly away)"
Gliese GJ 4239,43.49,37.34,-22.24,-1.44,dM5,3440,0.041,White,0.0002,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Gliese 876 System (29.4 ly away), Tau Ceti System (38.4 ly away), Barnard's Star System (41.0 ly away)"
Gliese Gl 319C,43.52,-28.0,32.53,7.22,M3.5,3734,0.131,Red,0.003,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"55 Cancri System (14.1 ly away), Ross 128 System (33.6 ly away), Wolf 359 System (37.2 ly away)"
Gliese Gl 767B,43.55,16.53,-33.01,23.09,M2  :,3764,0.177,Red,0.0056,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Barnard's Star System (38.6 ly away), Gliese 876 System (39.4 ly away), Gliese 581 System (43.0 ly away)"
Gliese Gl 655,43.58,-9.27,-39.46,16.01,M3,3705,0.144,Red,0.0035,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 581 System (30.7 ly away), Gliese 667 System (36.4 ly away), Barnard's Star System (37.8 ly away)"
Gliese GJ 1012,43.6,42.98,5.4,-5.06,M4,3824,0.104,Red,0.0021,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 876 System (30.4 ly away), Tau Ceti System (32.7 ly away), Epsilon Eridani System (37.1 ly away)"
Gliese Gl 742,43.6,3.75,-13.94,41.14,DXP5,9542,0.01,White,0.0008,1.0,Solar metallicity,White Dwarf,images/sirius.jpg,FALSE,0,"Barnard's Star System (40.7 ly away), Solar System (Earth/Sun) (43.6 ly away), Wolf 359 System (44.7 ly away)"
Gliese Gl 774A,43.72,9.31,-15.48,-39.83,m,3824,0.153,Red,0.0045,0.5,Metal-poor,Main Sequence (Red Dwarf),images/red_dwarf.jpg,FALSE,0,"Gliese 667 System (29.8 ly away), Gliese 876 System (38.1 ly away), Proxima Centauri System (40.3 ly away)"
